,YEAR,MONTH,ORIGIN_AIRPORT_ID,count,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
2050,2020,7,12191,3308,"Houston, TX: William P Hobby",HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889
2051,2020,7,12264,1071,"Washington, DC: Washington Dulles International",IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
2052,2020,7,12266,2843,"Houston, TX: George Bush Intercontinental/Houston",IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
2053,2020,7,12339,1479,"Indianapolis, IN: Indianapolis International",IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
2054,2020,7,12478,3255,"New York, NY: John F. Kennedy International",JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
2055,2020,7,12889,8428,"Las Vegas, NV: McCarran International",LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
2056,2020,7,12892,7163,"Los Angeles, CA: Los Angeles International",LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
2057,2020,7,12953,2774,"New York, NY: LaGuardia",LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
2058,2020,7,13198,1838,"Kansas City, MO: Kansas City International",MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
2059,2020,7,13204,7513,"Orlando, FL: Orlando International",MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
2060,2020,7,13232,5602,"Chicago, IL: Chicago Midway International",MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
2061,2020,7,13303,3631,"Miami, FL: Miami International",MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
2062,2020,7,13487,3525,"Minneapolis, MN: Minneapolis-St Paul International",MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2063,2020,7,13495,2057,"New Orleans, LA: Louis Armstrong New Orleans International",MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
2064,2020,7,13796,2551,"Oakland, CA: Metropolitan Oakland International",OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
2065,2020,7,13891,1020,"Ontario, CA: Ontario International",ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944
2066,2020,7,13930,6155,"Chicago, IL: Chicago O'Hare International",ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2067,2020,7,14057,1820,"Portland, OR: Portland International",PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
2068,2020,7,14100,3715,"Philadelphia, PA: Philadelphia International",PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
2069,2020,7,14107,7301,"Phoenix, AZ: Phoenix Sky Harbor International",PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
