ORIGIN_AIRPORT_ID,YEAR,WEEK,CANCELLED,COUNT_FLIGHTS,WEATHER_CANCELLED,NAS_CANCELLED,SEC_CANCELLED,CARRIER_CANCELLED,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
10140,2020,2,5,287,5,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,3,3,285,2,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,4,1,284,1,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,5,2,284,1,1,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,6,6,288,5,0,0,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,7,20,290,17,0,0,3,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,8,0,296,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,9,0,297,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,10,0,311,0,0,0,0,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,11,7,318,1,2,2,2,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,12,58,331,4,7,44,3,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,13,134,330,0,0,127,7,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,14,177,327,0,0,169,8,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,15,150,286,0,0,147,3,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,16,105,213,4,0,100,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,17,106,201,0,0,104,2,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
10140,2020,18,80,188,0,0,79,1,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
